Train_ID,Train_Name,Date,Source,Destination,Scheduled_Arrival,Actual_Arrival,Delay_Minutes,Passenger_Count,Revenue
10000,Shatabdi Express,2024-01-01,Hyderabad,Pune,14:30,15:41,71,1100,88000
10001,Lalbagh Express,2024-01-01,Chennai,Delhi,22:30,23:44,74,487,54544
10002,Chennai Express,2024-01-01,Hyderabad,Mumbai,21:00,21:01,1,743,76529
10003,Hampi Express,2024-01-01,Kolkata,Hyderabad,01:45,02:44,59,676,62192
10004,Jaipur Superfast,2024-01-01,Hyderabad,Bangalore,21:00,22:28,88,960,82560
10005,Rajdhani Express,2024-01-01,Delhi,Bangalore,15:30,16:31,61,1357,143842
10006,Duronto Express,2024-01-01,Kolkata,Mumbai,11:30,12:33,63,904,56048
10007,Yuva Express,2024-01-01,Mumbai,Delhi,06:00,07:12,72,566,43582
10008,Garib Rath,2024-01-01,Hyderabad,Chennai,13:15,13:23,8,745,83440
10009,Intercity Express,2024-01-01,Chennai,Pune,14:45,15:55,70,827,55409
10010,Express Special,2024-01-01,Delhi,Chennai,03:15,03:18,3,401,26065
10011,Passenger Special,2024-01-01,Kolkata,Bangalore,03:15,04:17,62,801,68085
10000,Shatabdi Express,2024-01-02,Hyderabad,Bangalore,09:15,09:28,13,1262,135034
10001,Lalbagh Express,2024-01-02,Kolkata,Delhi,07:00,08:19,79,1148,88396
10002,Chennai Express,2024-01-02,Mumbai,Bangalore,12:00,12:28,28,414,43056
10003,Hampi Express,2024-01-02,Bangalore,Chennai,06:00,07:27,87,528,54384
10004,Jaipur Superfast,2024-01-02,Delhi,Mumbai,16:45,17:19,34,818,75256
10005,Rajdhani Express,2024-01-02,Delhi,Hyderabad,09:30,10:10,40,427,28182
10006,Duronto Express,2024-01-02,Bangalore,Pune,01:00,01:47,47,902,73964
10007,Yuva Express,2024-01-02,Kolkata,Pune,02:45,04:10,85,1386,130284
10008,Garib Rath,2024-01-02,Bangalore,Delhi,04:30,05:47,77,1042,62520
10009,Intercity Express,2024-01-02,Mumbai,Bangalore,22:30,22:43,13,1270,109220
10010,Express Special,2024-01-02,Bangalore,Mumbai,09:45,11:01,76,1090,99190
10011,Passenger Special,2024-01-02,Bangalore,Pune,03:15,03:37,22,630,65520
10000,Shatabdi Express,2024-01-03,Delhi,Hyderabad,03:00,03:31,31,1238,146084
10001,Lalbagh Express,2024-01-03,Delhi,Pune,01:15,01:59,44,973,112868
10002,Chennai Express,2024-01-03,Mumbai,Pune,11:45,13:08,83,1197,83790
10003,Hampi Express,2024-01-03,Chennai,Pune,06:15,06:15,0,776,66736
10004,Jaipur Superfast,2024-01-03,Kolkata,Chennai,19:00,19:02,2,758,49270
10005,Rajdhani Express,2024-01-03,Delhi,Chennai,04:00,04:50,50,633,65199
10006,Duronto Express,2024-01-03,Delhi,Chennai,19:00,20:01,61,896,104832
10007,Yuva Express,2024-01-03,Hyderabad,Delhi,06:15,06:17,2,512,49152
10008,Garib Rath,2024-01-03,Bangalore,Chennai,16:15,16:16,1,619,69947
10009,Intercity Express,2024-01-03,Mumbai,Chennai,00:30,00:31,1,452,46556
10010,Express Special,2024-01-03,Chennai,Pune,22:30,23:25,55,522,39672
10011,Passenger Special,2024-01-03,Kolkata,Pune,19:15,20:24,69,1381,96670
10000,Shatabdi Express,2024-01-04,Bangalore,Chennai,05:45,05:47,2,1059,126021
10001,Lalbagh Express,2024-01-04,Delhi,Pune,18:15,19:21,66,910,70980
10002,Chennai Express,2024-01-04,Hyderabad,Delhi,08:00,08:39,39,1039,101822
10003,Hampi Express,2024-01-04,Chennai,Bangalore,10:45,11:41,56,872,95048
10004,Jaipur Superfast,2024-01-04,Kolkata,Bangalore,02:30,02:45,15,745,79715
10005,Rajdhani Express,2024-01-04,Bangalore,Pune,16:15,16:15,0,703,49913
10006,Duronto Express,2024-01-04,Mumbai,Hyderabad,22:00,22:18,18,1215,91125
10007,Yuva Express,2024-01-04,Delhi,Pune,23:15,23:47,32,1319,146409
10008,Garib Rath,2024-01-04,Delhi,Chennai,07:45,08:22,37,503,39737
10009,Intercity Express,2024-01-04,Kolkata,Mumbai,15:15,16:43,88,498,41832
10010,Express Special,2024-01-04,Mumbai,Bangalore,13:15,14:20,65,1221,114774
10011,Passenger Special,2024-01-04,Mumbai,Chennai,03:00,04:07,67,1200,87600
10000,Shatabdi Express,2024-01-05,Mumbai,Pune,23:45,23:52,7,534,33108
10001,Lalbagh Express,2024-01-05,Bangalore,Chennai,15:45,16:43,58,1282,103842
10002,Chennai Express,2024-01-05,Kolkata,Hyderabad,05:15,06:05,50,837,56079
10003,Hampi Express,2024-01-05,Delhi,Mumbai,01:00,01:29,29,1008,87696
10004,Jaipur Superfast,2024-01-05,Bangalore,Hyderabad,15:30,15:33,3,946,102168
10005,Rajdhani Express,2024-01-05,Bangalore,Pune,13:00,13:05,5,498,59262
10006,Duronto Express,2024-01-05,Bangalore,Hyderabad,23:00,23:45,45,580,52200
10007,Yuva Express,2024-01-05,Delhi,Pune,00:45,01:47,62,652,52160
10008,Garib Rath,2024-01-05,Bangalore,Delhi,17:00,17:53,53,969,60078
10009,Intercity Express,2024-01-05,Kolkata,Bangalore,14:15,14:37,22,1361,117046
10010,Express Special,2024-01-05,Chennai,Mumbai,16:45,17:17,32,792,80784
10011,Passenger Special,2024-01-05,Kolkata,Pune,09:30,09:55,25,1266,137994
10000,Shatabdi Express,2024-01-06,Bangalore,Hyderabad,06:00,06:35,35,1084,85636
10001,Lalbagh Express,2024-01-06,Bangalore,Pune,18:30,18:44,14,491,45663
10002,Chennai Express,2024-01-06,Chennai,Delhi,21:15,22:12,57,741,80028
10003,Hampi Express,2024-01-06,Hyderabad,Bangalore,05:30,06:23,53,843,80928
10004,Jaipur Superfast,2024-01-06,Bangalore,Hyderabad,11:45,11:49,4,502,31626
10005,Rajdhani Express,2024-01-06,Kolkata,Pune,19:15,20:01,46,1266,144324
10006,Duronto Express,2024-01-06,Hyderabad,Pune,17:45,18:14,29,1058,80408
10007,Yuva Express,2024-01-06,Delhi,Pune,22:15,23:44,89,516,42312
10008,Garib Rath,2024-01-06,Bangalore,Pune,20:00,20:57,57,1033,61980
10009,Intercity Express,2024-01-06,Chennai,Bangalore,07:00,07:00,0,671,65758
10010,Express Special,2024-01-06,Mumbai,Hyderabad,22:30,23:45,75,553,41475
10011,Passenger Special,2024-01-06,Delhi,Hyderabad,21:00,21:28,28,1373,119451
10000,Shatabdi Express,2024-01-07,Mumbai,Chennai,13:15,14:23,68,603,45225
10001,Lalbagh Express,2024-01-07,Chennai,Mumbai,15:00,15:38,38,1011,93012
10002,Chennai Express,2024-01-07,Kolkata,Hyderabad,04:30,04:39,9,1157,74048
10003,Hampi Express,2024-01-07,Hyderabad,Bangalore,19:30,19:39,9,1161,90558
10004,Jaipur Superfast,2024-01-07,Chennai,Bangalore,23:00,23:03,3,415,34445
10005,Rajdhani Express,2024-01-07,Chennai,Bangalore,19:45,19:56,11,1089,102366
10006,Duronto Express,2024-01-07,Hyderabad,Chennai,00:00,00:50,50,826,79296
10007,Yuva Express,2024-01-07,Hyderabad,Mumbai,00:00,00:39,39,1241,126582
10008,Garib Rath,2024-01-07,Hyderabad,Pune,12:45,13:30,45,1297,142670
10009,Intercity Express,2024-01-07,Chennai,Delhi,22:00,23:29,89,1175,103400
10010,Express Special,2024-01-07,Chennai,Mumbai,01:30,01:36,6,595,69615
10011,Passenger Special,2024-01-07,Mumbai,Bangalore,12:30,12:58,28,775,73625
10000,Shatabdi Express,2024-01-08,Bangalore,Hyderabad,03:15,04:27,72,1319,123986
10001,Lalbagh Express,2024-01-08,Bangalore,Delhi,15:45,17:06,81,1398,127218
10002,Chennai Express,2024-01-08,Kolkata,Pune,11:00,11:54,54,924,75768
10003,Hampi Express,2024-01-08,Bangalore,Delhi,08:15,08:31,16,1280,101120
10004,Jaipur Superfast,2024-01-08,Bangalore,Hyderabad,18:00,18:11,11,844,84400
10005,Rajdhani Express,2024-01-08,Delhi,Pune,08:30,08:57,27,1117,100530
10006,Duronto Express,2024-01-08,Hyderabad,Mumbai,14:45,15:53,68,498,35358
10007,Yuva Express,2024-01-08,Bangalore,Pune,20:45,21:37,52,550,41250
10008,Garib Rath,2024-01-08,Bangalore,Hyderabad,20:15,21:12,57,1334,97382
10009,Intercity Express,2024-01-08,Chennai,Hyderabad,02:30,03:44,74,1057,112042
10010,Express Special,2024-01-08,Hyderabad,Chennai,09:15,09:31,16,652,63244
10011,Passenger Special,2024-01-08,Kolkata,Pune,07:15,07:23,8,1345,115670
10000,Shatabdi Express,2024-01-09,Chennai,Mumbai,04:00,04:36,36,821,64038
10001,Lalbagh Express,2024-01-09,Mumbai,Chennai,21:45,22:01,16,910,60060
10002,Chennai Express,2024-01-09,Bangalore,Hyderabad,03:45,04:54,69,651,58590
10003,Hampi Express,2024-01-09,Delhi,Hyderabad,11:15,11:53,38,490,33810
10004,Jaipur Superfast,2024-01-09,Chennai,Delhi,06:15,07:21,66,572,41184
10005,Rajdhani Express,2024-01-09,Chennai,Pune,19:45,20:56,71,1228,122800
10006,Duronto Express,2024-01-09,Bangalore,Delhi,12:45,13:46,61,904,107576
10007,Yuva Express,2024-01-09,Bangalore,Chennai,23:00,23:37,37,516,33540
10008,Garib Rath,2024-01-09,Chennai,Pune,12:45,13:29,44,1228,130168
10009,Intercity Express,2024-01-09,Mumbai,Hyderabad,10:45,11:20,35,626,48828
10010,Express Special,2024-01-09,Hyderabad,Chennai,17:30,18:18,48,925,68450
10011,Passenger Special,2024-01-09,Bangalore,Hyderabad,21:15,21:17,2,1055,86510
10000,Shatabdi Express,2024-01-10,Bangalore,Delhi,11:15,11:30,15,1367,132599
10001,Lalbagh Express,2024-01-10,Hyderabad,Delhi,20:45,21:20,35,489,32763
10002,Chennai Express,2024-01-10,Chennai,Pune,17:45,18:25,40,1139,97954
10003,Hampi Express,2024-01-10,Kolkata,Chennai,08:00,09:23,83,860,74820
10004,Jaipur Superfast,2024-01-10,Mumbai,Hyderabad,13:30,13:35,5,993,109230
10005,Rajdhani Express,2024-01-10,Mumbai,Chennai,01:15,02:10,55,1197,130473
