Unnamed: 0,Train_ID,Train_Name,Date,Source,Destination,Scheduled_Arrival,Actual_Arrival,Delay_Minutes,Passenger_Count,Revenue,Month,Delay_Category
0,10000,Shatabdi Express,2024-01-01,Hyderabad,Pune,14:30,15:41,71,1100,88000,1,High Delay
1,10001,Lalbagh Express,2024-01-01,Chennai,Delhi,22:30,23:44,74,487,54544,1,High Delay
2,10002,Chennai Express,2024-01-01,Hyderabad,Mumbai,21:00,21:01,1,743,76529,1,Low Delay
3,10003,Hampi Express,2024-01-01,Kolkata,Hyderabad,01:45,02:44,59,676,62192,1,High Delay
4,10004,Jaipur Superfast,2024-01-01,Hyderabad,Bangalore,21:00,22:28,88,960,82560,1,High Delay
5,10005,Rajdhani Express,2024-01-01,Delhi,Bangalore,15:30,16:31,61,1357,143842,1,High Delay
6,10006,Duronto Express,2024-01-01,Kolkata,Mumbai,11:30,12:33,63,904,56048,1,High Delay
7,10007,Yuva Express,2024-01-01,Mumbai,Delhi,06:00,07:12,72,566,43582,1,High Delay
8,10008,Garib Rath,2024-01-01,Hyderabad,Chennai,13:15,13:23,8,745,83440,1,Low Delay
9,10009,Intercity Express,2024-01-01,Chennai,Pune,14:45,15:55,70,827,55409,1,High Delay
10,10010,Express Special,2024-01-01,Delhi,Chennai,03:15,03:18,3,401,26065,1,Low Delay
11,10011,Passenger Special,2024-01-01,Kolkata,Bangalore,03:15,04:17,62,801,68085,1,High Delay
12,10000,Shatabdi Express,2024-01-02,Hyderabad,Bangalore,09:15,09:28,13,1262,135034,1,Low Delay
13,10001,Lalbagh Express,2024-01-02,Kolkata,Delhi,07:00,08:19,79,1148,88396,1,High Delay
14,10002,Chennai Express,2024-01-02,Mumbai,Bangalore,12:00,12:28,28,414,43056,1,Medium Delay
15,10003,Hampi Express,2024-01-02,Bangalore,Chennai,06:00,07:27,87,528,54384,1,High Delay
16,10004,Jaipur Superfast,2024-01-02,Delhi,Mumbai,16:45,17:19,34,818,75256,1,Medium Delay
17,10005,Rajdhani Express,2024-01-02,Delhi,Hyderabad,09:30,10:10,40,427,28182,1,Medium Delay
18,10006,Duronto Express,2024-01-02,Bangalore,Pune,01:00,01:47,47,902,73964,1,High Delay
19,10007,Yuva Express,2024-01-02,Kolkata,Pune,02:45,04:10,85,1386,130284,1,High Delay
20,10008,Garib Rath,2024-01-02,Bangalore,Delhi,04:30,05:47,77,1042,62520,1,High Delay
21,10009,Intercity Express,2024-01-02,Mumbai,Bangalore,22:30,22:43,13,1270,109220,1,Low Delay
22,10010,Express Special,2024-01-02,Bangalore,Mumbai,09:45,11:01,76,1090,99190,1,High Delay
23,10011,Passenger Special,2024-01-02,Bangalore,Pune,03:15,03:37,22,630,65520,1,Medium Delay
24,10000,Shatabdi Express,2024-01-03,Delhi,Hyderabad,03:00,03:31,31,1238,146084,1,Medium Delay
25,10001,Lalbagh Express,2024-01-03,Delhi,Pune,01:15,01:59,44,973,112868,1,Medium Delay
